-0.01,-0.03,1.00,-0.34,0.41,-0.24
-0.02,-0.02,0.99,-0.52,0.15,-0.13
-0.02,-0.03,1.01,-0.65,0.59,-0.16
-0.02,-0.03,1.00,0.54,-0.03,0.14
-0.01,-0.04,1.00,7.38,3.81,1.84
0.41,1.10,0.99,69.87,242.06,-2.83
-0.21,0.26,0.34,62.04,230.73,-60.39
-0.98,-0.12,-0.04,-12.70,206.09,209.25
-1.82,-1.18,-0.52,131.77,133.50,-41.14
-1.82,1.61,-1.92,219.70,252.98,-98.01
-0.28,1.90,-0.80,250.40,55.49,-249.89
0.51,0.58,1.62,121.51,-38.74,-162.97
-0.13,-0.54,0.42,17.46,82.51,67.57
0.29,0.04,0.52,-183.55,-93.39,118.07
-0.43,0.70,-0.89,-249.87,44.58,233.20
-0.81,0.58,-1.62,-249.87,124.38,174.35
-0.42,0.67,-1.32,-249.69,31.62,-2.97
-0.50,0.83,-1.65,-249.87,25.12,80.58
-0.79,1.35,-1.28,67.55,-191.62,-12.37
-0.88,0.69,-1.14,250.40,-22.80,-175.14
-0.83,1.39,-1.92,250.40,-191.71,-249.89
-0.19,1.28,0.01,250.40,44.48,-249.89
0.37,-0.19,1.02,61.48,-21.65,-115.68
0.39,-0.49,0.13,-47.62,-20.55,40.01
0.20,-0.04,0.29,-153.54,-71.09,135.53
-0.88,0.52,-0.72,-249.87,-18.20,250.38
-0.97,0.71,-0.89,-249.87,-58.68,250.38
-0.74,1.18,-1.03,-249.87,228.89,212.32
-0.62,1.26,-0.84,-23.62,64.65,88.41
-0.36,1.90,-0.43,-132.24,215.88,-137.68
-1.33,1.28,-1.17,250.40,176.67,-249.89
0.00,1.61,-1.74,250.40,157.57,-168.36
-0.39,1.49,-0.38,250.40,20.33,-84.48
0.02,0.06,0.99,123.05,6.58,-95.06
0.12,-0.64,0.32,-11.97,29.23,26.23
0.03,-0.33,0.59,-144.53,-28.85,56.29
-0.03,0.81,-0.22,-249.87,69.34,211.11
-0.40,1.15,-1.19,-249.87,43.29,250.38
-0.61,1.01,-0.88,-217.26,-84.83,174.58
-1.03,1.41,-0.81,-197.93,-68.82,250.38
-0.72,1.51,-0.36,-4.64,64.36,-21.71
-0.58,1.73,-0.70,15.38,-247.29,-191.21
-1.41,0.58,-0.62,250.40,65.90,-249.89
-1.12,1.45,-1.89,145.79,-85.64,-249.89
-0.04,1.39,0.26,250.40,111.52,-249.89
0.08,-0.06,0.96,28.81,16.92,-98.89
0.22,-0.54,0.36,-25.79,16.61,31.48
0.32,0.10,0.19,-215.58,13.23,156.36
-0.19,1.90,-0.92,-249.87,77.99,250.38
-0.63,1.69,-1.19,-249.87,252.98,48.16
0.08,1.61,-1.01,-249.87,17.40,107.04
-0.67,1.59,-0.88,-1.34,-41.57,111.71
-0.38,1.31,-0.02,171.95,-231.42,-165.38
-0.71,1.30,-1.44,188.12,-171.92,-57.34
-1.43,1.36,-1.15,250.40,-179.66,-249.89
0.40,1.26,-1.45,-3.50,-81.17,-249.89
0.13,0.73,0.57,250.40,53.08,-99.93
0.24,-0.59,0.73,4.18,-35.45,0.33
-0.15,-0.42,0.47,-113.17,-15.69,56.28
-0.02,0.23,-0.28,-249.87,-34.22,155.28
-0.47,0.56,-0.76,-196.66,-111.43,250.38
-0.47,1.63,-0.71,-226.49,39.23,250.38
-0.95,1.42,-0.66,-75.74,39.60,250.38
-0.83,1.90,-0.30,-74.01,6.84,121.65
-0.57,1.75,-0.44,94.18,-118.47,-160.10
-1.15,1.76,-0.79,227.47,-107.62,-249.89
-0.52,1.73,-1.40,80.86,-153.43,-249.89
0.42,0.83,0.26,250.40,92.47,-249.89
0.36,-0.40,0.80,12.29,-0.13,-46.61
0.13,-0.27,0.50,-172.46,-9.77,120.90
-0.24,0.16,-0.65,-249.87,97.20,196.26
-0.45,0.33,-0.78,-175.17,90.42,135.52
-0.30,1.09,-1.37,-249.87,66.79,155.26
-0.39,1.32,-1.08,-249.87,-6.48,250.38
-0.90,0.93,-0.71,-83.06,118.63,62.26
-0.34,1.76,-0.41,43.31,-40.48,-121.88
-0.33,1.59,-1.55,250.40,-3.53,-186.68
-0.10,1.88,-1.46,250.40,-224.94,-249.89
0.10,1.34,-0.24,250.40,-4.74,-202.20
0.58,-0.06,1.53,75.28,-119.40,-83.19
0.03,-0.43,0.24,-108.01,79.16,83.90
-0.32,-0.09,-0.07,-213.82,7.37,112.81
-0.30,0.69,-1.18,-249.87,150.71,212.40
-0.11,0.91,-1.73,-249.87,227.93,107.38
-0.29,0.56,-0.97,-211.19,-14.90,91.68
-0.16,1.34,-0.92,-16.28,200.15,20.12
0.05,1.42,-0.73,-17.28,80.81,-80.09
-0.60,1.51,-0.61,37.07,95.19,-195.88
0.09,0.59,-1.22,250.40,-32.28,-249.89
-0.09,1.35,-1.76,250.40,136.56,78.85
-0.16,1.04,-0.17,250.40,6.67,-49.16
-0.18,-0.00,1.07,118.18,-16.01,-73.93
-0.24,-0.43,0.51,-55.40,46.14,4.86
0.18,0.19,0.14,-249.87,10.86,50.76
-0.38,0.34,-1.68,-249.87,131.33,92.92
-0.50,0.33,-1.38,-216.43,-7.85,64.36
-0.50,0.41,-1.12,-140.01,-12.32,39.69
-0.28,0.43,-0.55,-113.06,-74.45,81.50
-0.63,1.04,-1.36,-234.98,-15.19,126.62
-0.72,0.98,-1.73,174.18,-14.18,-128.06
-1.00,0.94,-1.92,250.40,61.90,-131.50
-0.18,1.34,-1.73,250.40,-199.32,-249.89
0.07,0.92,0.21,246.43,-13.05,-148.97
0.03,-0.16,0.67,-14.95,-17.07,-2.64
-0.10,-0.14,0.02,-204.89,25.64,58.00
-0.09,0.27,-0.77,-249.87,-0.74,126.93
-0.69,0.39,-1.09,-165.35,-83.73,192.78
-0.89,0.49,-0.76,-131.65,-61.71,188.25
-0.51,0.63,-0.79,-174.37,55.64,95.84
-0.27,1.45,-0.72,-249.87,105.48,193.84
-0.39,1.32,-0.53,139.99,0.82,-73.41
-0.18,1.46,-1.09,250.40,-98.39,-69.04
-1.01,0.81,-1.35,250.40,-209.25,-249.89
0.19,1.18,-1.12,250.40,-40.00,-249.89
0.34,0.46,0.43,110.47,4.23,-138.82
-0.11,-0.25,0.46,-16.73,12.09,56.77
-0.00,0.15,0.30,-241.93,-12.42,107.65
-0.98,0.74,-1.18,-249.87,-79.32,241.48
-1.17,0.71,-0.92,-120.32,-93.66,132.26
-1.02,0.42,-0.23,-24.58,-92.49,103.42
-0.70,0.74,0.02,13.14,-104.27,136.97
-0.57,0.69,0.28,19.80,-154.96,45.66
-0.50,1.12,0.34,-50.14,-164.02,72.37
